id,name,cuisine,capacity,area,price_bucket,rating,amenities
1,GoodFoods_1,Seafood,36,MG Road,high,4.6,"outdoor_seating,live_music"
2,GoodFoods_2,Seafood,74,Andheri,low,4.4,"parking,live_music"
3,GoodFoods_3,Seafood,135,Jayanagar,low,3.2,outdoor_seating
4,GoodFoods_4,Mediterranean,177,MG Road,mid,4.0,"wifi,parking"
5,GoodFoods_5,Cafe,136,MG Road,low,4.2,"parking,private_dining"
6,GoodFoods_6,Seafood,130,Jayanagar,high,3.0,"private_dining,wifi"
7,GoodFoods_7,Seafood,97,Jayanagar,high,3.4,"wifi,parking"
8,GoodFoods_8,Seafood,134,Lower Parel,high,4.5,"wheelchair_access,outdoor_seating"
9,GoodFoods_9,Seafood,45,Andheri,high,3.8,"wheelchair_access,live_music"
10,GoodFoods_10,Mediterranean,117,MG Road,low,3.8,"wheelchair_access,parking,outdoor_seating"
11,GoodFoods_11,Mediterranean,186,Indiranagar,high,3.4,"wheelchair_access,wifi,outdoor_seating"
12,GoodFoods_12,Seafood,88,Noida Sector 18,high,4.6,live_music
13,GoodFoods_13,Continental,62,Koramangala,low,3.9,"outdoor_seating,live_music"
14,GoodFoods_14,Seafood,159,Colaba,low,3.3,"wifi,live_music"
15,GoodFoods_15,Continental,182,Lower Parel,mid,4.1,parking
16,GoodFoods_16,Cafe,189,Indiranagar,mid,3.2,"live_music,parking"
17,GoodFoods_17,Japanese,42,Jayanagar,high,3.7,"live_music,wifi,parking"
18,GoodFoods_18,Indian,71,Jayanagar,low,4.8,"private_dining,live_music"
19,GoodFoods_19,Japanese,44,Indiranagar,high,4.3,"outdoor_seating,parking"
20,GoodFoods_20,Mediterranean,95,Andheri,mid,3.8,"wifi,live_music"
21,GoodFoods_21,Indian,106,Colaba,high,4.8,"private_dining,wifi"
22,GoodFoods_22,Chinese,135,Jayanagar,low,3.5,"outdoor_seating,private_dining,wheelchair_access"
23,GoodFoods_23,Cafe,67,Lower Parel,low,3.5,"live_music,wifi"
24,GoodFoods_24,Continental,159,Andheri,mid,3.6,outdoor_seating
25,GoodFoods_25,Indian,139,Bandra,high,4.4,parking
26,GoodFoods_26,Cafe,95,Noida Sector 18,mid,3.2,parking
27,GoodFoods_27,Seafood,121,Bandra,low,4.6,wifi
28,GoodFoods_28,Japanese,71,Andheri,mid,4.4,"parking,outdoor_seating,live_music"
29,GoodFoods_29,Indian,36,Lower Parel,low,3.1,"outdoor_seating,private_dining,wifi"
30,GoodFoods_30,Thai,89,Koramangala,high,3.9,wheelchair_access
31,GoodFoods_31,Mediterranean,106,Lower Parel,high,4.0,wifi
32,GoodFoods_32,Mediterranean,77,Indiranagar,mid,3.4,"live_music,parking,wifi"
33,GoodFoods_33,Italian,27,MG Road,low,4.5,"wheelchair_access,parking"
34,GoodFoods_34,Thai,124,Lower Parel,low,4.4,"wheelchair_access,parking"
35,GoodFoods_35,Japanese,84,MG Road,high,4.7,"live_music,outdoor_seating,private_dining"
36,GoodFoods_36,Italian,191,Jayanagar,mid,3.9,"private_dining,live_music,wheelchair_access"
37,GoodFoods_37,Cafe,118,Connaught Place,high,4.4,"parking,wifi,private_dining"
38,GoodFoods_38,Thai,49,Jayanagar,low,4.5,"private_dining,wheelchair_access,parking"
39,GoodFoods_39,Chinese,168,Lower Parel,mid,3.7,wheelchair_access
40,GoodFoods_40,Chinese,43,Connaught Place,mid,3.4,private_dining
41,GoodFoods_41,Thai,135,Jayanagar,high,4.5,"live_music,outdoor_seating,wheelchair_access"
42,GoodFoods_42,Thai,120,Andheri,high,4.8,"live_music,wifi,parking"
43,GoodFoods_43,Italian,52,Jayanagar,mid,4.7,"live_music,wheelchair_access,outdoor_seating"
44,GoodFoods_44,Mexican,132,Colaba,low,3.1,"wheelchair_access,wifi"
45,GoodFoods_45,Indian,76,Lower Parel,low,4.3,"outdoor_seating,wifi"
46,GoodFoods_46,Chinese,108,Connaught Place,low,3.2,"wheelchair_access,outdoor_seating,wifi"
47,GoodFoods_47,Thai,188,Andheri,low,4.5,wheelchair_access
48,GoodFoods_48,Mediterranean,112,Koramangala,mid,4.1,"wifi,outdoor_seating"
49,GoodFoods_49,Mexican,145,Noida Sector 18,high,4.3,"private_dining,wheelchair_access,wifi"
50,GoodFoods_50,Seafood,70,Jayanagar,low,3.5,private_dining
51,GoodFoods_51,Thai,102,Andheri,high,3.0,"wifi,private_dining"
52,GoodFoods_52,Thai,90,Bandra,high,3.8,"wheelchair_access,parking,private_dining"
53,GoodFoods_53,Japanese,59,Jayanagar,high,4.9,outdoor_seating
54,GoodFoods_54,Mexican,54,Connaught Place,high,4.1,"wifi,wheelchair_access,live_music"
55,GoodFoods_55,Thai,110,Noida Sector 18,mid,3.9,private_dining
56,GoodFoods_56,Continental,91,Jayanagar,mid,3.2,"outdoor_seating,wheelchair_access,live_music"
57,GoodFoods_57,Italian,124,Lower Parel,mid,4.2,"wheelchair_access,live_music,private_dining"
58,GoodFoods_58,Cafe,142,Colaba,mid,3.7,"outdoor_seating,wifi"
59,GoodFoods_59,Cafe,134,Jayanagar,high,4.4,"wifi,outdoor_seating"
60,GoodFoods_60,Mediterranean,182,Bandra,high,3.6,"parking,private_dining"
61,GoodFoods_61,Japanese,47,Connaught Place,mid,3.1,"private_dining,outdoor_seating"
62,GoodFoods_62,Japanese,122,Bandra,mid,3.0,wheelchair_access
63,GoodFoods_63,Thai,89,Colaba,mid,4.5,"outdoor_seating,parking"
64,GoodFoods_64,Indian,182,Jayanagar,high,4.1,"live_music,wheelchair_access,private_dining"
65,GoodFoods_65,Chinese,57,Andheri,high,3.8,"outdoor_seating,live_music,private_dining"
66,GoodFoods_66,Continental,78,Bandra,mid,3.2,outdoor_seating
67,GoodFoods_67,Italian,75,Bandra,low,4.3,"private_dining,live_music,wheelchair_access"
68,GoodFoods_68,Italian,80,Andheri,high,3.9,"outdoor_seating,live_music"
69,GoodFoods_69,Mexican,193,MG Road,mid,4.1,"wifi,private_dining"
70,GoodFoods_70,Continental,185,Jayanagar,high,4.1,"private_dining,wheelchair_access"
71,GoodFoods_71,Cafe,55,MG Road,low,4.1,"live_music,private_dining"
72,GoodFoods_72,Thai,127,Andheri,low,3.8,"private_dining,live_music"
73,GoodFoods_73,Mediterranean,129,MG Road,high,3.1,"outdoor_seating,live_music,private_dining"
74,GoodFoods_74,Mexican,26,Noida Sector 18,low,4.4,"wheelchair_access,wifi"
75,GoodFoods_75,Cafe,22,MG Road,high,4.5,"live_music,outdoor_seating,parking"
76,GoodFoods_76,Chinese,167,Connaught Place,mid,3.3,"private_dining,parking"
77,GoodFoods_77,Japanese,48,Bandra,low,3.8,"outdoor_seating,wifi"
78,GoodFoods_78,Continental,112,Lower Parel,high,4.3,"parking,wheelchair_access,outdoor_seating"
79,GoodFoods_79,Cafe,43,Jayanagar,low,3.9,"parking,outdoor_seating,wifi"
80,GoodFoods_80,Seafood,146,Indiranagar,mid,3.7,"parking,wheelchair_access"
81,GoodFoods_81,Italian,176,Bandra,high,3.8,private_dining
82,GoodFoods_82,Continental,93,Bandra,high,3.7,wifi
83,GoodFoods_83,Seafood,186,Andheri,low,3.6,wifi
84,GoodFoods_84,Japanese,151,Connaught Place,low,3.4,private_dining
85,GoodFoods_85,Japanese,134,MG Road,mid,3.8,"wifi,live_music"
86,GoodFoods_86,Continental,28,Colaba,low,4.3,"live_music,wifi"
87,GoodFoods_87,Mediterranean,182,Andheri,high,3.9,"outdoor_seating,wheelchair_access"
88,GoodFoods_88,Continental,176,Colaba,mid,4.1,"wifi,parking,outdoor_seating"
89,GoodFoods_89,Japanese,21,Colaba,mid,3.9,wifi
90,GoodFoods_90,Continental,190,Noida Sector 18,mid,3.6,"outdoor_seating,parking,wheelchair_access"
91,GoodFoods_91,Mediterranean,91,Noida Sector 18,low,4.1,"outdoor_seating,parking"
92,GoodFoods_92,Chinese,27,Noida Sector 18,high,4.3,"wheelchair_access,wifi"
93,GoodFoods_93,Chinese,117,Jayanagar,mid,3.3,parking
94,GoodFoods_94,Indian,178,Connaught Place,high,3.6,live_music
95,GoodFoods_95,Continental,149,Noida Sector 18,mid,4.1,"outdoor_seating,wheelchair_access"
96,GoodFoods_96,Mexican,95,Lower Parel,mid,4.0,wheelchair_access
97,GoodFoods_97,Seafood,102,Bandra,mid,4.3,wheelchair_access
98,GoodFoods_98,Mexican,184,Jayanagar,low,4.7,"wheelchair_access,private_dining,wifi"
99,GoodFoods_99,Thai,46,Connaught Place,high,4.6,"outdoor_seating,live_music"
100,GoodFoods_100,Mexican,109,MG Road,low,4.3,"private_dining,wheelchair_access"
